ngram_context	context_limited_context	fold	n_train	n_test	ll_m0_mean	ll_m0_a_mean	ll_m0_b_mean	ll_joint_mean	delta_a_given_b_mean	delta_b_given_a_mean	ll_m0_sum	ll_m0_a_sum	ll_m0_b_sum	ll_joint_sum	delta_a_given_b_sum	delta_b_given_a_sum
0	2	5	409	45	-4.70827267453774	-4.60421663389246	-4.62020052377305	-4.60095026697443	0.0192502567986255	0.00326636691803461	-211.872270354198	-207.189748525161	-207.909023569787	-207.042762013849	0.866261555938166	0.146986511311582
0	2	6	409	45	-4.59287828561385	-4.57674192665283	-4.53742234746931	-4.51627227028347	0.0211500771858377	0.0604696563693601	-206.679522852623	-205.953386699377	-204.184005636119	-203.232252162756	0.951753473362714	2.72113453662124
0	2	7	408	46	-4.8299347036681	-4.79699826338413	-4.75262223102332	-4.78964304273589	-0.0370208117125701	0.00735522064823968	-222.176996368732	-220.66192011567	-218.620622627073	-220.323579965851	-1.70295733877819	0.338340149819061
0	2	8	409	45	-4.6352795437939	-4.59854389202888	-4.63782836545522	-4.60385552131704	0.0339728441381819	-0.00531162928815654	-208.587579470725	-206.9344751413	-208.702276445485	-207.173498459267	1.52877798621816	-0.239023317967053
0	2	9	409	45	-4.65402526087442	-4.57820093851772	-4.62925561490552	-4.58223722727717	0.0470183876283494	-0.00403628875945561	-209.431136739349	-206.019042233297	-208.316502670748	-206.200675227473	2.11582744327572	-0.181632994175487
0	2	10	408	46	-4.7238069036227	-4.67967927332128	-4.79303206545541	-4.75425240207908	0.0387796633763307	-0.0745731287578053	-217.295117566644	-215.265246572779	-220.479475010949	-218.695610495638	1.78386451531122	-3.43036392285904
0	4	1	408	46	-4.67093018114756	-4.64574045205677	-4.65131771247618	-4.65743408754668	-0.00611637507049956	-0.0116936354899062	-214.862788332788	-213.704060794611	-213.960614773904	-214.241968027147	-0.281353253242969	-0.537907232535701
0	4	2	409	45	-4.8491454023871	-4.85477155221284	-4.868476331142	-4.89100804869585	-0.0225317175538535	-0.0362364964830126	-218.211543107419	-218.464719849578	-219.08143490139	-220.095362191313	-1.01392728992343	-1.63064234173555
0	4	3	409	45	-4.92348203585279	-4.89191308217529	-4.85481982784461	-4.83652336940906	0.0182964584355476	0.0553897127662282	-221.556691613375	-220.136088697888	-218.466892253007	-217.643551623408	0.823340629599642	2.49253707448025
0	4	4	408	46	-4.71919919646765	-4.63512783645977	-4.56885870705556	-4.50014097936268	0.0687177276928868	0.134986857097088	-217.083163037512	-213.215880477149	-210.167500524556	-207.006485050683	3.16101547387279	6.20939542646602
0	4	5	409	45	-4.70827267453774	-4.60421663389246	-4.66423493423259	-4.62568171793802	0.0385532162945683	-0.0214650840455599	-211.872270354198	-207.189748525161	-209.890572040467	-208.155677307211	1.73489473325557	-0.965928782050213
0	4	6	409	45	-4.59287828561385	-4.57674192665283	-4.57611685190127	-4.54446539219746	0.031651459703812	0.032276534455371	-206.679522852623	-205.953386699377	-205.925258335557	-204.500942648886	1.42431568667152	1.45244405049172
0	4	7	408	46	-4.8299347036681	-4.79699826338413	-4.75904824697813	-4.77275331322798	-0.0137050662498561	0.0242449501561479	-222.176996368732	-220.66192011567	-218.916219360994	-219.546652408487	-0.630433047493398	1.1152677071828
0	4	8	409	45	-4.6352795437939	-4.59854389202888	-4.5964222241623	-4.57403517459208	0.0223870495702183	0.0245087174367944	-208.587579470725	-206.9344751413	-206.839000087304	-205.831582856644	1.00741723065983	1.10289228465578
0	4	9	409	45	-4.65402526087442	-4.57820093851772	-4.58830494556327	-4.54443275385429	0.0438721917089762	0.0337681846634235	-209.431136739349	-206.019042233297	-206.473722550347	-204.499473923443	1.97424862690394	1.51956830985409
0	4	10	408	46	-4.7238069036227	-4.67967927332128	-4.77626064030024	-4.71745633501296	0.0588043052872731	-0.0377770616916839	-217.295117566644	-215.265246572779	-219.707989453811	-217.002991410596	2.70499804321457	-1.73774483781747
1	1	1	408	46	-4.67093018114756	-4.64415816210195	-4.60817181441432	-4.61304975009622	-0.00487793568189421	0.0311084120057288	-214.862788332788	-213.63127545669	-211.975903463059	-212.200288504426	-0.224385041367157	1.43098695226351
1	1	2	409	45	-4.8491454023871	-4.84691789197205	-4.84112883008457	-4.84936974628808	-0.00824091620350664	-0.0024518543160239	-218.211543107419	-218.111305138742	-217.850797353806	-218.221638582963	-0.370841229157833	-0.110333444221084
1	1	3	409	45	-4.92348203585279	-4.95479313944031	-4.88476824446574	-4.88989718158938	-0.00512893712363383	0.064895957850938	-221.556691613375	-222.965691274814	-219.814571000958	-220.045373171522	-0.230802170563521	2.92031810329223
1	1	4	408	46	-4.71919919646765	-4.61862380839849	-4.56547483185897	-4.54497137679516	0.0205034550638166	0.0736524316033353	-217.083163037512	-212.456695186331	-210.011842265513	-209.068683332577	0.943158932935546	3.3880118537534
1	1	5	409	45	-4.70827267453774	-4.64394449801409	-4.66693385881328	-4.71100917658654	-0.0440753177732649	-0.0670646785724482	-211.872270354198	-208.977502410634	-210.012023646597	-211.995412946394	-1.98338929979693	-3.01791053576019
1	1	6	409	45	-4.59287828561385	-4.53800602518825	-4.50093441698666	-4.4724586821444	0.0284757348422664	0.0655473430438525	-206.679522852623	-204.210271133471	-202.5420487644	-201.260640696498	1.28140806790199	2.94963043697334
1	1	7	408	46	-4.8299347036681	-4.8458934269773	-4.71394337677823	-4.73997691512704	-0.0260335383488144	0.105916511850262	-222.176996368732	-222.911097640956	-216.841395331798	-218.038938095844	-1.19754276404547	4.87215954511205
1	1	8	409	45	-4.6352795437939	-4.58792303013488	-4.63126463332546	-4.62290761930833	0.00835701401712985	-0.0349845891734528	-208.587579470725	-206.456536356069	-208.406908499646	-208.030842868875	0.376065630770796	-1.57430651280538
1	1	9	409	45	-4.65402526087442	-4.62068736070064	-4.58729668103498	-4.57758573174658	0.00971094928840266	0.0431016289540676	-209.431136739349	-207.930931231529	-206.428350646574	-205.991357928596	0.436992717978114	1.93957330293304
1	1	10	408	46	-4.7238069036227	-4.70258686255149	-4.6819560826055	-4.71822608829691	-0.0362700056914118	-0.0156392257454234	-217.295117566644	-216.318995677369	-215.369979799853	-217.038400061658	-1.66842026180495	-0.719404384289447
1	2	1	408	46	-4.67093018114756	-4.64415816210195	-4.6496749167835	-4.65046158048932	-0.000786663705821589	-0.00630341838737447	-214.862788332788	-213.63127545669	-213.885046172041	-213.921232702509	-0.036186530467802	-0.289957245819238
1	2	2	409	45	-4.8491454023871	-4.84691789197205	-4.87485614622496	-4.86591480656195	0.00894133966301247	-0.0189969145898994	-218.211543107419	-218.111305138742	-219.368526580123	-218.966166295288	0.402360284835567	-0.854861156545468
1	2	3	409	45	-4.92348203585279	-4.95479313944031	-4.87646517207568	-4.91780553621031	-0.0413403641346228	0.0369876032300054	-221.556691613375	-222.965691274814	-219.440932743406	-221.301249129464	-1.86031638605803	1.66444214535025
1	2	4	408	46	-4.71919919646765	-4.61862380839849	-4.53712382405167	-4.56714076649355	-0.030016942441887	0.0514830419049375	-217.083163037512	-212.456695186331	-208.707695906377	-210.088475258704	-1.38077935232681	2.36821992762708
1	2	5	409	45	-4.70827267453774	-4.64394449801409	-4.62020052377305	-4.62195180222021	-0.00175127844715295	0.0219926957938883	-211.872270354198	-208.977502410634	-207.909023569787	-207.987831099909	-0.0788075301219067	0.989671310724958
1	2	6	409	45	-4.59287828561385	-4.53800602518825	-4.53742234746931	-4.53498735703074	0.00243499043856321	0.00301866815750795	-206.679522852623	-204.210271133471	-204.184005636119	-204.074431066383	0.109574569735344	0.135840067087855
1	2	7	408	46	-4.8299347036681	-4.8458934269773	-4.75262223102332	-4.78394514290103	-0.0313229118777025	0.0619482840762782	-222.176996368732	-222.911097640956	-218.620622627073	-220.061476573447	-1.44085394637432	2.84962106750876
