comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	folds	delta_predictor_given_layer_mean	delta_predictor_given_layer_se	delta_layer_given_predictor_mean	delta_layer_given_predictor_se	delta_n_given_l_mean	delta_n_given_l_se	delta_l_given_n_mean	delta_l_given_n_se	delta_c_given_l_mean	delta_c_given_l_se	delta_l_given_c_mean	delta_l_given_c_se
context_limited_vs_internal_layer	context_limited	1	NA	1	11	5	-0.507191014163106	0.237811456818555	-0.261829274251279	0.0423750520162017	NA	NA	NA	NA	-0.507191014163106	0.237811456818555	-0.261829274251279	0.0423750520162017
context_limited_vs_internal_layer	context_limited	1	NA	1	12	5	-0.597031546344812	0.25193802995203	-0.330544885087724	0.0647446058052747	NA	NA	NA	NA	-0.597031546344812	0.25193802995203	-0.330544885087724	0.0647446058052747
context_limited_vs_internal_layer	context_limited	2	NA	2	1	5	-0.491843820513188	0.265209811360054	-0.448294906107752	0.221563246775922	NA	NA	NA	NA	-0.491843820513188	0.265209811360054	-0.448294906107752	0.221563246775922
context_limited_vs_internal_layer	context_limited	2	NA	2	2	5	-0.506772972394242	0.292565381981493	-0.499287475480294	0.216500509386075	NA	NA	NA	NA	-0.506772972394242	0.292565381981493	-0.499287475480294	0.216500509386075
context_limited_vs_internal_layer	context_limited	2	NA	2	3	5	-0.519829147027801	0.304119393621687	-0.550867454662355	0.226586756527238	NA	NA	NA	NA	-0.519829147027801	0.304119393621687	-0.550867454662355	0.226586756527238
context_limited_vs_internal_layer	context_limited	2	NA	2	4	5	-0.607978763307178	0.333098003742641	-0.633987059416643	0.303459084301886	NA	NA	NA	NA	-0.607978763307178	0.333098003742641	-0.633987059416643	0.303459084301886
context_limited_vs_internal_layer	context_limited	2	NA	2	5	5	-0.585008302988487	0.317815414935804	-0.541713865948044	0.276129417883945	NA	NA	NA	NA	-0.585008302988487	0.317815414935804	-0.541713865948044	0.276129417883945
context_limited_vs_internal_layer	context_limited	2	NA	2	6	5	-0.663260728571434	0.329402074199702	-0.603087397783181	0.267159684581705	NA	NA	NA	NA	-0.663260728571434	0.329402074199702	-0.603087397783181	0.267159684581705
context_limited_vs_internal_layer	context_limited	2	NA	2	7	5	-0.556680410109267	0.297305897088586	-0.503193886400233	0.240117929370971	NA	NA	NA	NA	-0.556680410109267	0.297305897088586	-0.503193886400233	0.240117929370971
context_limited_vs_internal_layer	context_limited	2	NA	2	8	5	-0.541515368243708	0.34314862549342	-0.4950530786688	0.32338067099077	NA	NA	NA	NA	-0.541515368243708	0.34314862549342	-0.4950530786688	0.32338067099077
context_limited_vs_internal_layer	context_limited	2	NA	2	9	5	-0.446915639111386	0.291598486497281	-0.390304710560194	0.267243167821389	NA	NA	NA	NA	-0.446915639111386	0.291598486497281	-0.390304710560194	0.267243167821389
context_limited_vs_internal_layer	context_limited	2	NA	2	10	5	-0.271121413708138	0.19222093398615	-0.218448820294724	0.129105590729591	NA	NA	NA	NA	-0.271121413708138	0.19222093398615	-0.218448820294724	0.129105590729591
context_limited_vs_internal_layer	context_limited	2	NA	2	11	5	-0.261783234967943	0.163782928681043	-0.221847535697154	0.0982742420510473	NA	NA	NA	NA	-0.261783234967943	0.163782928681043	-0.221847535697154	0.0982742420510473
context_limited_vs_internal_layer	context_limited	2	NA	2	12	5	-0.297555242807101	0.15380214959049	-0.23649462219105	0.0658590019218289	NA	NA	NA	NA	-0.297555242807101	0.15380214959049	-0.23649462219105	0.0658590019218289
context_limited_vs_internal_layer	context_limited	3	NA	3	1	5	-0.314255966483651	0.158002381522266	-0.310641856610639	0.152200790656635	NA	NA	NA	NA	-0.314255966483651	0.158002381522266	-0.310641856610639	0.152200790656635
context_limited_vs_internal_layer	context_limited	3	NA	3	2	5	-0.262029151478295	0.136979495450478	-0.29447845909677	0.106502873805185	NA	NA	NA	NA	-0.262029151478295	0.136979495450478	-0.29447845909677	0.106502873805185
context_limited_vs_internal_layer	context_limited	3	NA	3	3	5	-0.260695701991184	0.149347431887683	-0.331668814158163	0.12014593081835	NA	NA	NA	NA	-0.260695701991184	0.149347431887683	-0.331668814158163	0.12014593081835
context_limited_vs_internal_layer	context_limited	3	NA	3	4	5	-0.292261999179913	0.159864669622391	-0.358205099821801	0.146073007045476	NA	NA	NA	NA	-0.292261999179913	0.159864669622391	-0.358205099821801	0.146073007045476
context_limited_vs_internal_layer	context_limited	3	NA	3	5	5	-0.279516211810077	0.148650327486366	-0.276156579302057	0.0919330368990376	NA	NA	NA	NA	-0.279516211810077	0.148650327486366	-0.276156579302057	0.0919330368990376
context_limited_vs_internal_layer	context_limited	3	NA	3	6	5	-0.345075648981464	0.179820525064864	-0.324837122725634	0.101355427136135	NA	NA	NA	NA	-0.345075648981464	0.179820525064864	-0.324837122725634	0.101355427136135
context_limited_vs_internal_layer	context_limited	3	NA	3	7	5	-0.310708224611852	0.163713857532779	-0.297156505435241	0.101850497447194	NA	NA	NA	NA	-0.310708224611852	0.163713857532779	-0.297156505435241	0.101850497447194
context_limited_vs_internal_layer	context_limited	3	NA	3	8	5	-0.418965298388643	0.26989019276394	-0.412437813346159	0.259159272302194	NA	NA	NA	NA	-0.418965298388643	0.26989019276394	-0.412437813346159	0.259159272302194
context_limited_vs_internal_layer	context_limited	3	NA	3	9	5	-0.401588664960801	0.262237830127587	-0.384912540942032	0.256545048714016	NA	NA	NA	NA	-0.401588664960801	0.262237830127587	-0.384912540942032	0.256545048714016
context_limited_vs_internal_layer	context_limited	3	NA	3	10	5	-0.24269409567451	0.170402179714802	-0.22995630679352	0.109654214440679	NA	NA	NA	NA	-0.24269409567451	0.170402179714802	-0.22995630679352	0.109654214440679
context_limited_vs_internal_layer	context_limited	3	NA	3	11	5	-0.347653723728885	0.229617484756034	-0.347652828990519	0.148570313199052	NA	NA	NA	NA	-0.347653723728885	0.229617484756034	-0.347652828990519	0.148570313199052
context_limited_vs_internal_layer	context_limited	3	NA	3	12	5	-0.479183287753574	0.321069527258266	-0.458057471669947	0.213102302981422	NA	NA	NA	NA	-0.479183287753574	0.321069527258266	-0.458057471669947	0.213102302981422
context_limited_vs_internal_layer	context_limited	4	NA	4	1	5	-0.363255624024413	0.196236261959249	-0.379371188306574	0.202175762602425	NA	NA	NA	NA	-0.363255624024413	0.196236261959249	-0.379371188306574	0.202175762602425
context_limited_vs_internal_layer	context_limited	4	NA	4	2	5	-0.314053676113843	0.176706337703158	-0.366232657887491	0.183339572531779	NA	NA	NA	NA	-0.314053676113843	0.176706337703158	-0.366232657887491	0.183339572531779
context_limited_vs_internal_layer	context_limited	4	NA	4	3	5	-0.337909968370807	0.189651307960566	-0.428612754692959	0.204139281919189	NA	NA	NA	NA	-0.337909968370807	0.189651307960566	-0.428612754692959	0.204139281919189
context_limited_vs_internal_layer	context_limited	4	NA	4	4	5	-0.374202760308491	0.220260205201221	-0.459875535105553	0.24662523042405	NA	NA	NA	NA	-0.374202760308491	0.220260205201221	-0.459875535105553	0.24662523042405
context_limited_vs_internal_layer	context_limited	4	NA	4	5	5	-0.354215349769225	0.196012119835122	-0.370585391416379	0.165400485155317	NA	NA	NA	NA	-0.354215349769225	0.196012119835122	-0.370585391416379	0.165400485155317
context_limited_vs_internal_layer	context_limited	4	NA	4	6	5	-0.375562029743097	0.206469345656899	-0.375053177642441	0.142529885138672	NA	NA	NA	NA	-0.375562029743097	0.206469345656899	-0.375053177642441	0.142529885138672
context_limited_vs_internal_layer	context_limited	4	NA	4	7	5	-0.337291318037875	0.179150393747736	-0.343469273016438	0.090517407898576	NA	NA	NA	NA	-0.337291318037875	0.179150393747736	-0.343469273016438	0.090517407898576
context_limited_vs_internal_layer	context_limited	4	NA	4	8	5	-0.397860091673919	0.216092248951335	-0.411062280786608	0.190128264580801	NA	NA	NA	NA	-0.397860091673919	0.216092248951335	-0.411062280786608	0.190128264580801
context_limited_vs_internal_layer	context_limited	4	NA	4	9	5	-0.361431266954052	0.185916333654651	-0.364484817090457	0.192076847073657	NA	NA	NA	NA	-0.361431266954052	0.185916333654651	-0.364484817090457	0.192076847073657
context_limited_vs_internal_layer	context_limited	4	NA	4	10	5	-0.202900457698223	0.141403363272618	-0.209892342972407	0.0993558009874891	NA	NA	NA	NA	-0.202900457698223	0.141403363272618	-0.209892342972407	0.0993558009874891
context_limited_vs_internal_layer	context_limited	4	NA	4	11	5	-0.2568978028883	0.211627432495683	-0.276626582305108	0.152655121359645	NA	NA	NA	NA	-0.2568978028883	0.211627432495683	-0.276626582305108	0.152655121359645
context_limited_vs_internal_layer	context_limited	4	NA	4	12	5	-0.254819311185333	0.158764858439574	-0.25342316925688	0.0988075631923739	NA	NA	NA	NA	-0.254819311185333	0.158764858439574	-0.25342316925688	0.0988075631923739
ngram_vs_internal_layer	ngram	0	0	NA	1	5	-0.328070019669402	0.132680110417324	-0.232717214418184	0.074641001778282	-0.328070019669402	0.132680110417324	-0.232717214418184	0.074641001778282	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	5	-0.385474274506934	0.162143715474548	-0.326184886747203	0.11319608500784	-0.385474274506934	0.162143715474548	-0.326184886747203	0.11319608500784	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	5	-0.47661934787215	0.177357879728955	-0.455853764660923	0.143339952150257	-0.47661934787215	0.177357879728955	-0.455853764660923	0.143339952150257	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	5	-0.469687982476209	0.188837434371551	-0.443892387739892	0.138248518858859	-0.469687982476209	0.188837434371551	-0.443892387739892	0.138248518858859	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	5	-0.453807555285706	0.175877883474044	-0.358709227399481	0.0819164315216152	-0.453807555285706	0.175877883474044	-0.358709227399481	0.0819164315216152	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	5	-0.453609982716081	0.182903883837189	-0.341632761082046	0.0986141078189952	-0.453609982716081	0.182903883837189	-0.341632761082046	0.0986141078189952	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	7	5	-0.390243884755423	0.1414138895311	-0.284953470200607	0.134769503018223	-0.390243884755423	0.1414138895311	-0.284953470200607	0.134769503018223	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	8	5	-0.412310496131355	0.169815169744373	-0.314044315710665	0.145274289310972	-0.412310496131355	0.169815169744373	-0.314044315710665	0.145274289310972	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	9	5	-0.401367345293624	0.174655888112532	-0.292952525896649	0.119495339961839	-0.401367345293624	0.174655888112532	-0.292952525896649	0.119495339961839	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	10	5	-0.349151115389956	0.146238836483114	-0.244674631130761	0.0876411697808671	-0.349151115389956	0.146238836483114	-0.244674631130761	0.0876411697808671	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	11	5	-0.328210761000326	0.148444437427018	-0.236471170883754	0.0997264612301472	-0.328210761000326	0.148444437427018	-0.236471170883754	0.0997264612301472	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	12	5	-0.37987035272707	0.150307406216274	-0.267005841265238	0.0974253621043888	-0.37987035272707	0.150307406216274	-0.267005841265238	0.0974253621043888	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	1	5	-0.274123458223696	0.211089016438065	-0.33509490576617	0.167023306023835	-0.274123458223696	0.211089016438065	-0.33509490576617	0.167023306023835	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	2	5	-0.427647479792138	0.28969088701361	-0.524682344826098	0.287922156566149	-0.427647479792138	0.28969088701361	-0.524682344826098	0.287922156566149	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	3	5	-0.75798137708917	0.526462550519665	-0.893540046671634	0.560067011457676	-0.75798137708917	0.526462550519665	-0.893540046671634	0.560067011457676	NA	NA	NA	NA
