comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	fold	n_train	n_test	ll_m0_mean	ll_predictor_mean	ll_layer_mean	ll_joint_mean	delta_predictor_given_layer_mean	delta_layer_given_predictor_mean	delta_n_given_l_mean	delta_l_given_n_mean	delta_c_given_l_mean	delta_l_given_c_mean	ll_m0_sum	ll_predictor_sum	ll_layer_sum	ll_joint_sum	delta_predictor_given_layer_sum	delta_layer_given_predictor_sum	delta_n_given_l_sum	delta_l_given_n_sum	delta_c_given_l_sum	delta_l_given_c_sum
ngram_vs_internal_layer	ngram	0	0	NA	3	5	409	45	-4.44826430396403	-4.41101620290392	-4.41926478521099	-4.40804643293671	0.0112183522742839	0.00296976996721288	0.0112183522742839	0.00296976996721288	NA	NA	-200.171893678381	-198.495729130677	-198.866915334495	-198.362089482152	0.504825852342776	0.133639648524593	0.504825852342776	0.133639648524593	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	6	409	45	-4.63368851310806	-4.56754334762109	-4.60099709959861	-4.56895550305202	0.0320415965465859	-0.00141215543093409	0.0320415965465859	-0.00141215543093409	NA	NA	-208.515983089863	-205.539450642949	-207.044869481937	-205.602997637341	1.44187184459636	-0.0635469943919986	1.44187184459636	-0.0635469943919986	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	7	408	46	-4.99254488935761	-5.03580322406541	-4.92337820629417	-5.01778768515343	-0.0944094788592569	0.0180155389119765	-0.0944094788592569	0.0180155389119765	NA	NA	-229.65706491045	-231.646948307009	-226.475397489532	-230.818233517058	-4.34283602752578	0.828714789950936	-4.34283602752578	0.828714789950936	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	8	409	45	-4.50404071539604	-4.49563359315298	-4.43076462208374	-4.44096685962627	-0.0102022375425319	0.0546667335267141	-0.0102022375425319	0.0546667335267141	NA	NA	-202.681832192822	-202.303511691884	-199.384407993768	-199.843508683182	-0.459100689413958	2.4600030087021	-0.459100689413958	2.4600030087021	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	9	409	45	-4.58087065183731	-4.4871587000908	-4.54117332056061	-4.51454013343665	0.0266331871239629	-0.0273814333458446	0.0266331871239629	-0.0273814333458446	NA	NA	-206.139179332679	-201.922141504086	-204.352799425227	-203.154306004649	1.1984934205783	-1.23216450056299	1.1984934205783	-1.23216450056299	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	10	408	46	-4.76365841592551	-4.79601619546453	-4.71813637219588	-4.75470480597657	-0.0365684337806824	0.0413113894879622	-0.0365684337806824	0.0413113894879622	NA	NA	-219.128287132574	-220.616744991368	-217.034273121011	-218.716421074922	-1.68214795391143	1.90032391644624	-1.68214795391143	1.90032391644624	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	1	408	46	-4.48649557711874	-4.4739699965859	-4.5868562301405	-4.55345633390517	0.0333998962353315	-0.0794863373192722	0.0333998962353315	-0.0794863373192722	NA	NA	-206.378796547462	-205.802619842951	-210.995386586463	-209.458991359638	1.53639522682528	-3.65637151668648	1.53639522682528	-3.65637151668648	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	2	409	45	-4.55227129162572	-4.49023150938962	-4.498216854758	-4.46120121156821	0.0370156431897852	0.0290302978214054	0.0370156431897852	0.0290302978214054	NA	NA	-204.852208123157	-202.060417922533	-202.41975846411	-200.75405452057	1.66570394354031	1.30636340196321	1.66570394354031	1.30636340196321	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	3	409	45	-4.83691345434996	-4.72583133026769	-4.77744811086866	-4.71925551591343	0.058192594955222	0.00657581435425492	0.058192594955222	0.00657581435425492	NA	NA	-217.661105445748	-212.662409862046	-214.985164989089	-212.366498216104	2.61866677298499	0.295911645941516	2.61866677298499	0.295911645941516	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	4	408	46	-4.84394400575021	-4.89578396764768	-4.76973442948934	-4.83712626763651	-0.0673918381471683	0.0586577000111665	-0.0673918381471683	0.0586577000111665	NA	NA	-222.82142426451	-225.206062511793	-219.40778375651	-222.50780831128	-3.10002455476973	2.69825420051365	-3.10002455476973	2.69825420051365	NA	NA
